Nombre,Victorias
Patrick Cantlay,4
Jon Rahm,3
Bryson DeChambeau,2
Dustin Johnson,2
Jason Kokrak,2
Stewart Cink,2
Harris English,2
Jordan Spieth,2
Lucas Glover,1
Cameron Davis,1
Phil Mickelson,1
K.H. Lee,1
Rory McIlroy,1
Sam Burns,1
Marc Leishman,1
Cameron Smith,1
Hideki Matsuyama,1
Justin Thomas,1
Joel Dahmen,1
Billy Horschel,1
Matt Jones,1
Justin Rose,1
Sergio Garcia,1
Max Homa,1
Daniel Berger,1
Brooks Koepka,1
Collin Morikawa,1
Kevin Na,1
Nick Taylor,1
Carlos Ortiz,1
Brian Gay,1
Robert Streb,1
Viktor Hovland,1
