RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,325.8,33883,104
2,0,51491,Brandon Matthews,321.2,35330,110
3,0,57366,Cameron Young,317.1,44388,140
4,0,52372,Cameron Champ,316.1,35398,112
5,0,33948,Byeong Hun An,316.0,61295,194
6,-1,48867,Matti Schmid,315.8,38524,122
7,0,49453,Trevor Cone,315.1,42854,136
8,0,51766,Wyndham Clark,313.9,56493,180
9,3,31323,Gary Woodland,313.8,52084,166
10,4,52411,Kyle Westmoreland,313.5,39504,126
11,5,24502,Adam Scott,313.4,37604,120
12,-2,46970,Jon Rahm,313.3,36970,118
13,-1,39546,Keith Mitchell,313.1,48839,156
14,-3,51070,Vincent Norrman,312.9,46931,150
15,0,34255,Joseph Bramlett,312.4,49983,160
16,2,46601,Trey Mullinax,311.8,43027,138
17,4,47504,Sam Burns,311.7,43011,138
18,-1,45157,Cam Davis,311.6,44245,142
19,-1,27129,Luke List,311.0,47276,152
20,4,58168,Davis Thompson,310.7,47230,152
21,-3,51414,Brent Grant,310.6,40993,132
22,3,39067,MJ Daffue,310.5,55262,178
22,0,56762,Will Gordon,310.5,57748,186
22,1,36724,Augusto Núñez,310.5,44084,142
25,2,48699,Callum Tarren,310.2,49004,158
26,-1,46046,Scottie Scheffler,310.1,47137,152
27,2,40250,Taylor Pendrith,309.8,51429,166
27,0,55893,Sam Stevens,309.8,53285,172
27,5,45242,Kevin Yu,309.8,32844,106
30,1,32333,Kevin Tway,309.4,52601,170
31,-1,25632,Jimmy Walker,309.3,43307,140
32,1,28420,Ryan Brehm,309.2,45756,148
33,0,54421,Garrick Higgo,308.8,56818,184
34,3,47988,Nick Hardy,308.6,54316,176
35,0,27554,Scott Harrington,308.3,39462,128
36,0,36699,Patrick Rodgers,308.1,57305,186
37,6,33448,Justin Thomas,308.0,41891,136
38,5,55454,Carl Yuan,307.9,38184,124
39,3,33653,Thomas Detry,307.8,49860,162
40,-2,35450,Patrick Cantlay,307.7,36919,120
40,-2,32102,Rickie Fowler,307.7,49227,160
42,-2,46717,Viktor Hovland,307.4,46725,152
42,-2,50188,S.H. Kim,307.4,60868,198
44,4,12716,Charley Hoffman,306.7,39865,130
45,0,20229,Stewart Cink,306.6,40474,132
46,0,34363,Tyrrell Hatton,306.3,40430,132
46,1,36799,Stephan Jaeger,306.3,62480,204
48,2,35461,Beau Hossler,305.7,52581,172
49,0,48117,Kurt Kitayama,305.6,36677,120
50,2,32662,Michael Gligic,305.4,36034,118
50,5,49947,Taylor Moore,305.4,51913,170
52,-1,29725,Tony Finau,305.0,43927,144
52,0,47347,Adam Schenk,305.0,59179,194
54,0,29289,S.Y. Noh,304.7,35954,118
55,0,40098,Matt Fitzpatrick,304.5,37153,122
56,1,55708,Hayden Buckley,304.4,38966,128
57,4,56630,Akshay Bhatia,304.1,35274,116
57,2,58967,Trevor Werbylo,304.1,40751,134
59,-1,39335,Kevin Roy,304.0,37702,124
59,6,40006,Erik van Rooyen,304.0,37693,124
61,-2,55789,Taylor Montgomery,303.9,48626,160
62,8,33204,Shane Lowry,303.8,37669,124
63,-2,28089,Jason Day,303.7,41299,136
63,3,39975,Michael Kim,303.7,51624,170
63,-2,51634,Sahith Theegala,303.7,53448,176
63,-2,35617,Martin Trainer,303.7,28552,94
67,1,47995,Davis Riley,303.6,49788,164
68,0,32366,Kevin Chappell,303.4,26700,88
69,1,37338,Zecheng Dou,303.3,49136,162
70,2,33141,Keegan Bradley,303.2,40016,132
70,-4,29970,Dylan Frittelli,303.2,38809,128
72,1,34046,Jordan Spieth,303.1,36377,120
73,1,48119,Ben Taylor,302.9,52099,172
74,2,33597,Harry Higgs,302.8,41185,136
74,1,39977,Max Homa,302.8,42386,140
76,1,48081,Xander Schauffele,302.6,39332,130
77,1,39058,Lucas Herbert,302.4,26610,88
78,1,30911,Tommy Fleetwood,302.2,37472,124
78,2,31577,Tano Goya,302.2,43517,144
80,2,46340,Alex Smalley,301.7,55504,184
81,2,49964,Aaron Wise,301.5,25933,86
82,-1,54591,Ben Griffin,301.4,56059,186
82,3,23320,Ryan Palmer,301.4,36765,122
84,2,32757,Patton Kizzire,301.1,46965,156
84,0,48887,Matt Wallace,301.1,45760,152
86,3,51349,Nico Echavarria,301.0,37321,124
87,0,57362,Austin Eckroat,300.9,49351,164
87,1,31646,Emiliano Grillo,300.9,54757,182
89,0,39954,Cody Gribble,300.8,32481,108
89,6,30692,Scott Stallings,300.8,43320,144
91,0,46442,Maverick McNealy,300.7,34279,114
92,0,54628,Lee Hodges,300.6,54716,182
93,0,28252,Seamus Power,300.5,44473,148
94,2,35506,Mackenzie Hughes,300.2,40232,134
94,3,27349,Alex Noren,300.2,42033,140
96,2,39997,Corey Conners,299.6,41942,140
96,-2,59018,Ryan Gerard,299.6,29962,100
96,3,57975,Harry Hall,299.6,50341,168
99,3,25686,Jason Dufner,299.5,43730,146
100,0,50095,Austin Smotherman,299.4,47900,160
100,3,47128,Richy Werenski,299.4,47308,158
102,-2,33408,Tyson Alexander,299.2,44886,150
102,2,32791,K.H. Lee,299.2,50866,170
104,7,29420,Billy Horschel,299.1,37085,124
105,3,51997,Andrew Novak,298.9,46030,154
106,4,34563,Chesson Hadley,298.8,44215,148
107,0,39324,J.J. Spaun,298.6,46588,156
107,-2,49960,Sepp Straka,298.6,47772,160
107,1,54783,Dylan Wu,298.6,52546,176
