RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,1,34098,Russell Henley,71.02%,615,866,-0.22
2,1,19803,Ryan Armour,69.93%,579,828,-0.15
3,1,26596,Ryan Moore,68.82%,490,712,-0.18
4,1,46414,Aaron Rai,68.37%,789,1154,-0.21
5,2,37455,Si Woo Kim,68.15%,691,1014,-0.20
6,0,25900,Lucas Glover,68.03%,683,1004,-0.17
7,1,50525,Collin Morikawa,67.95%,513,755,-0.26
8,2,30927,Brendon Todd,67.62%,710,1050,-0.22
9,0,40058,Zac Blair,67.32%,484,719,-0.19
10,1,27644,Brian Harman,67.30%,636,945,-0.20
11,1,35449,Adam Long,66.89%,697,1042,-0.18
12,1,31557,Jim Herman,66.84%,514,769,-0.09
13,2,52375,Doug Ghim,66.41%,599,902,-0.18
14,0,55182,Tom Kim,66.29%,590,890,-0.24
15,2,24024,Zach Johnson,66.03%,484,733,-0.15
16,3,26476,Chez Reavie,65.99%,712,1079,-0.18
17,1,35450,Patrick Cantlay,65.87%,496,753,-0.30
17,-1,49960,Sepp Straka,65.87%,631,958,-0.23
19,1,34409,David Lingmerth,65.84%,528,802,-0.11
20,1,45609,Tyler Duncan,65.14%,598,918,-0.17
21,1,24140,Sean O'Hair,64.62%,232,359,-0.17
22,1,32448,James Hahn,64.59%,540,836,-0.13
23,1,33410,Andrew Landry,64.28%,475,739,-0.14
24,1,52513,Carson Young,64.18%,568,885,-0.18
25,1,32150,Michael Thompson,64.08%,364,568,-0.14
26,1,36326,David Lipsky,64.05%,629,982,-0.18
27,4,35879,Kelly Kraft,63.65%,513,806,-0.15
28,2,39324,J.J. Spaun,63.63%,642,1009,-0.20
29,3,22056,Cameron Percy,63.62%,313,492,-0.17
30,4,29535,Brice Garnett,63.58%,494,777,-0.19
30,4,35901,Paul Haley II,63.58%,543,854,-0.13
32,4,46435,Austin Cook,63.55%,394,620,-0.09
33,4,39971,Sungjae Im,63.51%,684,1077,-0.26
34,4,27936,Martin Laird,63.44%,498,785,-0.17
35,-7,34256,Andrew Putnam,63.42%,716,1129,-0.19
36,3,57362,Austin Eckroat,63.41%,565,891,-0.19
37,-8,33399,Adam Hadwin,63.38%,642,1013,-0.22
38,-6,36871,Matt NeSmith,62.94%,620,985,-0.13
39,8,55708,Hayden Buckley,62.87%,508,808,-0.16
40,1,23320,Ryan Palmer,62.81%,488,777,-0.22
41,1,32640,Troy Merritt,62.74%,495,789,-0.13
42,1,45522,Christiaan Bezuidenhout,62.69%,610,973,-0.17
42,-2,23108,Matt Kuchar,62.69%,630,1005,-0.18
44,2,29420,Billy Horschel,62.52%,447,715,-0.20
45,-1,39546,Keith Mitchell,62.32%,612,982,-0.21
46,2,47993,Denny McCarthy,62.31%,696,1117,-0.24
47,-2,46046,Scottie Scheffler,62.28%,568,912,-0.30
