RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,74.03%,1066,1440,-0.33
2,0,45242,Kevin Yu,72.96%,696,954,-0.30
3,0,46970,Jon Rahm,70.99%,805,1134,-0.36
4,0,52375,Doug Ghim,70.56%,978,1386,-0.26
5,0,50525,Collin Morikawa,70.53%,876,1242,-0.30
6,0,49453,Trevor Cone,70.34%,861,1224,-0.26
7,0,33122,Russell Knox,70.29%,1164,1656,-0.23
8,2,54783,Dylan Wu,69.95%,1108,1584,-0.29
9,-1,51070,Vincent Norrman,69.76%,992,1422,-0.29
10,-1,25900,Lucas Glover,69.71%,1054,1512,-0.27
10,1,56762,Will Gordon,69.71%,1167,1674,-0.29
12,3,35450,Patrick Cantlay,69.53%,801,1152,-0.34
13,0,36799,Stephan Jaeger,69.44%,1325,1908,-0.29
14,0,46414,Aaron Rai,69.42%,1212,1746,-0.27
15,-3,55182,Tom Kim,69.37%,974,1404,-0.31
16,0,29535,Brice Garnett,69.29%,898,1296,-0.26
17,0,29725,Tony Finau,69.08%,945,1368,-0.31
18,2,56630,Akshay Bhatia,68.77%,718,1044,-0.30
18,1,39997,Corey Conners,68.77%,916,1332,-0.30
20,-2,46340,Alex Smalley,68.75%,1188,1728,-0.27
21,0,45609,Tyler Duncan,68.73%,965,1404,-0.27
22,0,28775,Nate Lashley,68.71%,1076,1566,-0.30
22,0,27129,Luke List,68.71%,940,1368,-0.25
24,1,48081,Xander Schauffele,68.36%,849,1242,-0.32
25,3,34255,Joseph Bramlett,68.33%,984,1440,-0.29
26,9,32102,Rickie Fowler,68.32%,1033,1512,-0.33
27,6,53165,Doc Redman,68.24%,737,1080,-0.24
28,9,34098,Russell Henley,68.21%,884,1296,-0.27
29,5,19803,Ryan Armour,68.20%,933,1368,-0.26
30,0,39324,J.J. Spaun,68.16%,1006,1476,-0.26
31,-4,31646,Emiliano Grillo,68.13%,1165,1710,-0.29
32,-8,36871,Matt NeSmith,68.11%,993,1458,-0.24
33,-5,57366,Cameron Young,68.09%,907,1332,-0.32
34,4,36724,Augusto Núñez,68.08%,870,1278,-0.24
35,5,22056,Cameron Percy,68.03%,600,882,-0.22
36,-10,47988,Nick Hardy,68.00%,1126,1656,-0.29
37,-5,49960,Sepp Straka,67.99%,1028,1512,-0.29
38,3,40250,Taylor Pendrith,67.94%,1015,1494,-0.26
38,3,31323,Gary Woodland,67.94%,1015,1494,-0.25
40,-10,34256,Andrew Putnam,67.90%,1210,1782,-0.27
41,2,33413,Ben Martin,67.88%,1063,1566,-0.29
42,1,55708,Hayden Buckley,67.81%,830,1224,-0.28
43,2,52513,Carson Young,67.80%,1013,1494,-0.28
44,2,26476,Chez Reavie,67.72%,1024,1512,-0.25
45,2,30163,Henrik Norlander,67.70%,914,1350,-0.23
46,4,12716,Charley Hoffman,67.69%,792,1170,-0.27
47,-8,49771,J.T. Poston,67.68%,1072,1584,-0.29
48,4,52372,Cameron Champ,67.66%,682,1008,-0.25
49,5,33399,Adam Hadwin,67.64%,974,1440,-0.30
50,3,27963,Chris Stroud,67.61%,572,846,-0.26
51,-15,51766,Wyndham Clark,67.55%,1143,1692,-0.32
52,2,51890,Greyson Sigg,67.54%,1082,1602,-0.28
52,4,52374,Brandon Wu,67.54%,1155,1710,-0.30
54,-7,35532,Tom Hoge,67.53%,1094,1620,-0.32
55,2,23320,Ryan Palmer,67.49%,741,1098,-0.28
56,13,28237,Rory McIlroy,67.46%,680,1008,-0.34
57,2,31577,Tano Goya,67.44%,874,1296,-0.27
58,2,32366,Kevin Chappell,67.42%,534,792,-0.28
59,2,55893,Sam Stevens,67.41%,1092,1620,-0.28
60,3,25686,Jason Dufner,67.35%,885,1314,-0.24
60,-9,27644,Brian Harman,67.35%,982,1458,-0.30
62,2,39975,Michael Kim,67.32%,1030,1530,-0.25
62,2,27936,Martin Laird,67.32%,824,1224,-0.27
64,2,32448,James Hahn,67.24%,823,1224,-0.26
65,2,54421,Garrick Higgo,67.15%,1112,1656,-0.29
66,-5,32839,Hideki Matsuyama,67.14%,991,1476,-0.29
67,1,31557,Jim Herman,67.11%,761,1134,-0.21
68,1,39546,Keith Mitchell,67.07%,990,1476,-0.30
69,2,34563,Chesson Hadley,67.04%,893,1332,-0.29
69,2,29289,S.Y. Noh,67.04%,712,1062,-0.30
71,-13,28089,Jason Day,66.98%,868,1296,-0.32
72,4,46717,Viktor Hovland,66.94%,964,1440,-0.33
72,3,39335,Kevin Roy,66.94%,747,1116,-0.28
74,3,32791,K.H. Lee,66.86%,1023,1530,-0.27
75,-2,40115,Adam Svensson,66.78%,1178,1764,-0.28
76,2,26596,Ryan Moore,66.76%,733,1098,-0.27
77,2,51414,Brent Grant,66.75%,793,1188,-0.26
78,-4,45157,Cam Davis,66.74%,901,1350,-0.29
79,5,33141,Keegan Bradley,66.67%,840,1260,-0.32
79,2,49298,Kramer Hickok,66.67%,924,1386,-0.24
79,2,49766,Hank Lebioda,66.67%,588,882,-0.22
79,2,48699,Callum Tarren,66.67%,948,1422,-0.29
83,4,47347,Adam Schenk,66.61%,1211,1818,-0.27
84,1,36326,David Lipsky,66.53%,994,1494,-0.26
85,1,34363,Tyrrell Hatton,66.51%,838,1260,-0.33
86,2,37338,Zecheng Dou,66.46%,969,1458,-0.27
87,2,58168,Davis Thompson,66.45%,909,1368,-0.29
88,3,23108,Matt Kuchar,66.32%,943,1422,-0.27
89,1,33204,Shane Lowry,66.31%,740,1116,-0.27
90,2,39067,MJ Daffue,66.29%,1062,1602,-0.30
91,-11,36801,Mark Hubbard,66.25%,1121,1692,-0.28
92,3,39971,Sungjae Im,66.18%,1096,1656,-0.33
93,0,51997,Andrew Novak,66.16%,917,1386,-0.27
94,-1,47993,Denny McCarthy,66.06%,1094,1656,-0.30
95,3,27214,Kevin Streelman,66.02%,1022,1548,-0.25
96,3,57975,Harry Hall,66.01%,998,1512,-0.31
96,3,32333,Kevin Tway,66.01%,1010,1530,-0.28
98,4,48867,Matti Schmid,65.94%,724,1098,-0.30
99,-2,39977,Max Homa,65.92%,878,1332,-0.35
100,3,55454,Carl Yuan,65.86%,735,1116,-0.29
101,3,57362,Austin Eckroat,65.85%,972,1476,-0.29
102,9,37455,Si Woo Kim,65.83%,1019,1548,-0.30
103,-7,28252,Seamus Power,65.81%,924,1404,-0.32
104,2,39954,Cody Gribble,65.74%,639,972,-0.28
105,7,22405,Justin Rose,65.71%,757,1152,-0.31
106,1,54591,Ben Griffin,65.64%,1146,1746,-0.30
106,-1,36699,Patrick Rodgers,65.64%,1146,1746,-0.29
