RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,55789,Taylor Montgomery,1.659,1516,914,38.93%
2,0,46970,Jon Rahm,1.699,1368,805,36.75%
3,1,37275,Sam Ryder,1.700,1710,1006,34.13%
4,-1,39977,Max Homa,1.703,1495,878,35.43%
5,8,30911,Tommy Fleetwood,1.704,1290,757,34.79%
6,-1,47591,Eric Cole,1.705,2017,1183,34.04%
7,0,51634,Sahith Theegala,1.707,1808,1059,34.31%
7,-1,49964,Aaron Wise,1.707,823,482,35.49%
9,0,25493,Nick Taylor,1.708,1553,909,33.63%
10,-3,30927,Brendon Todd,1.711,1757,1027,33.20%
11,0,32102,Rickie Fowler,1.712,1769,1033,33.95%
12,0,33597,Harry Higgs,1.713,1343,784,32.95%
13,-4,34363,Tyrrell Hatton,1.715,1437,838,34.17%
14,0,22371,Aaron Baddeley,1.717,1418,826,31.59%
15,0,46442,Maverick McNealy,1.721,1084,630,32.06%
16,-1,35450,Patrick Cantlay,1.722,1379,801,35.67%
16,4,28252,Seamus Power,1.722,1591,924,32.46%
16,3,48081,Xander Schauffele,1.722,1462,849,33.73%
16,1,24502,Adam Scott,1.722,1212,704,34.90%
16,1,47128,Richy Werenski,1.722,1502,872,33.64%
21,-1,33948,Byeong Hun An,1.723,2004,1163,33.59%
21,-1,47504,Sam Burns,1.723,1423,826,33.90%
23,6,46717,Viktor Hovland,1.725,1663,964,34.72%
24,-1,57975,Harry Hall,1.727,1724,998,33.40%
25,-1,33141,Keegan Bradley,1.729,1452,840,33.77%
26,6,33653,Thomas Detry,1.730,1685,974,33.37%
26,0,29289,S.Y. Noh,1.730,1232,712,31.93%
26,3,46046,Scottie Scheffler,1.730,1844,1066,32.96%
29,3,51766,Wyndham Clark,1.731,1978,1143,33.16%
29,16,28237,Rory McIlroy,1.731,1177,680,34.71%
29,-3,22405,Justin Rose,1.731,1310,757,32.80%
29,0,50493,Justin Suh,1.731,1888,1091,32.75%
33,-7,28089,Jason Day,1.732,1503,868,33.53%
34,0,54591,Ben Griffin,1.734,1987,1146,32.02%
34,0,55182,Tom Kim,1.734,1689,974,32.58%
34,-9,47993,Denny McCarthy,1.734,1897,1094,31.99%
37,-3,50188,S.H. Kim,1.735,1945,1121,33.15%
38,2,35532,Tom Hoge,1.736,1899,1094,32.84%
38,-1,40162,Justin Lower,1.736,1776,1023,32.42%
38,1,52374,Brandon Wu,1.736,2005,1155,32.03%
41,-4,30926,Chris Kirk,1.737,1680,967,31.02%
42,-2,29221,Webb Simpson,1.738,963,554,30.62%
