RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.258,83.003,66
2,0,50525,Collin Morikawa,1.025,55.358,54
3,0,46970,Jon Rahm,0.901,46.828,52
4,0,28237,Rory McIlroy,0.854,42.718,50
5,0,48081,Xander Schauffele,0.842,45.469,54
6,1,29725,Tony Finau,0.776,50.447,65
7,-1,35532,Tom Hoge,0.765,57.361,75
8,0,32102,Rickie Fowler,0.718,52.390,73
9,1,31323,Gary Woodland,0.712,52.707,74
10,-1,55182,Tom Kim,0.683,43.683,64
11,0,32839,Hideki Matsuyama,0.625,43.128,69
12,0,34363,Tyrrell Hatton,0.608,35.285,58
13,8,46717,Viktor Hovland,0.590,36.562,62
14,2,25900,Lucas Glover,0.579,41.666,72
15,-1,36801,Mark Hubbard,0.572,44.641,78
16,2,22405,Justin Rose,0.570,28.493,50
17,-2,49960,Sepp Straka,0.567,39.134,69
18,1,39335,Kevin Roy,0.566,26.013,46
19,1,37455,Si Woo Kim,0.564,41.161,73
20,-7,39997,Corey Conners,0.547,35.008,64
21,1,12716,Charley Hoffman,0.522,25.575,49
22,2,25493,Nick Taylor,0.521,32.842,63
23,-6,39977,Max Homa,0.517,33.579,65
24,-1,56630,Akshay Bhatia,0.516,23.218,45
25,2,33122,Russell Knox,0.494,35.085,71
26,0,35450,Patrick Cantlay,0.488,26.325,54
27,4,26596,Ryan Moore,0.453,23.119,51
28,1,34098,Russell Henley,0.450,27.872,62
29,10,37275,Sam Ryder,0.439,32.025,73
30,2,33204,Shane Lowry,0.436,24.407,56
31,-1,30911,Tommy Fleetwood,0.426,22.990,54
31,4,33413,Ben Martin,0.426,30.217,71
33,-5,34256,Andrew Putnam,0.420,34.479,82
34,-9,51766,Wyndham Clark,0.419,32.675,78
35,-3,47591,Eric Cole,0.406,36.525,90
36,1,26476,Chez Reavie,0.401,30.884,77
37,1,34255,Joseph Bramlett,0.394,26.785,68
38,2,30926,Chris Kirk,0.386,26.645,69
38,-4,46340,Alex Smalley,0.386,31.640,82
40,-4,47995,Davis Riley,0.380,26.617,70
41,3,33141,Keegan Bradley,0.375,22.136,59
42,0,23983,Luke Donald,0.342,14.032,41
43,1,27129,Luke List,0.335,22.770,68
44,2,33448,Justin Thomas,0.327,20.588,63
45,-4,34046,Jordan Spieth,0.313,16.894,54
46,-3,33399,Adam Hadwin,0.305,22.259,73
47,0,46414,Aaron Rai,0.304,25.246,83
48,0,31646,Emiliano Grillo,0.303,22.999,76
49,2,23320,Ryan Palmer,0.275,15.387,56
50,5,40115,Adam Svensson,0.266,23.405,88
51,3,36326,David Lipsky,0.261,18.529,71
51,-2,57366,Cameron Young,0.261,15.653,60
53,3,48887,Matt Wallace,0.246,15.479,63
54,3,54783,Dylan Wu,0.243,17.015,70
55,10,47347,Adam Schenk,0.237,20.151,85
56,3,59018,Ryan Gerard,0.226,9.955,44
57,3,28775,Nate Lashley,0.221,16.117,73
58,4,34563,Chesson Hadley,0.218,13.733,63
59,-1,48117,Kurt Kitayama,0.212,10.818,51
60,-8,28089,Jason Day,0.209,11.703,56
61,-1,36799,Stephan Jaeger,0.203,19.484,96
62,0,49771,J.T. Poston,0.197,14.793,75
63,3,54628,Lee Hodges,0.195,15.779,81
64,-14,47988,Nick Hardy,0.194,14.766,76
65,2,27963,Chris Stroud,0.191,6.484,34
66,3,25686,Jason Dufner,0.186,10.817,58
67,3,39975,Michael Kim,0.184,11.931,65
68,0,30927,Brendon Todd,0.183,13.700,75
68,3,45242,Kevin Yu,0.183,7.502,41
70,4,52375,Doug Ghim,0.172,11.183,65
71,4,56762,Will Gordon,0.171,13.704,80
72,15,34099,Harris English,0.166,12.457,75
73,7,39971,Sungjae Im,0.158,12.185,77
74,-10,36871,Matt NeSmith,0.157,11.141,71
75,-3,45157,Cam Davis,0.154,10.470,68
76,1,48699,Callum Tarren,0.152,10.507,69
77,2,29221,Webb Simpson,0.150,6.879,46
78,2,45522,Christiaan Bezuidenhout,0.149,10.460,70
79,-6,39324,J.J. Spaun,0.139,10.036,72
80,2,27214,Kevin Streelman,0.129,9.777,76
81,2,32366,Kevin Chappell,0.123,3.574,29
82,2,51890,Greyson Sigg,0.121,9.225,76
83,-5,33948,Byeong Hun An,0.119,10.098,85
84,1,46441,Robby Shelton,0.105,7.738,74
85,1,51997,Andrew Novak,0.096,5.646,59
86,3,49947,Taylor Moore,0.095,6.934,73
86,-10,51634,Sahith Theegala,0.095,7.444,78
88,0,25818,Scott Piercy,0.093,5.515,59
89,13,52374,Brandon Wu,0.067,5.199,78
90,2,27349,Alex Noren,0.059,3.520,60
91,2,40058,Zac Blair,0.058,3.032,52
91,2,34076,Joel Dahmen,0.058,3.666,63
93,3,47993,Denny McCarthy,0.047,3.822,81
94,3,22371,Aaron Baddeley,0.042,2.258,54
95,3,27644,Brian Harman,0.031,2.135,68
96,-5,40098,Matt Fitzpatrick,0.024,1.330,55
97,-7,51070,Vincent Norrman,0.017,1.049,63
98,3,54591,Ben Griffin,0.011,0.909,81
99,-4,23108,Matt Kuchar,0.008,0.597,72
100,3,40162,Justin Lower,0.002,0.142,71
101,3,46601,Trey Mullinax,-0.003,-0.163,65
102,3,39954,Cody Gribble,-0.008,-0.315,41
103,3,32791,K.H. Lee,-0.013,-0.890,69
103,3,52513,Carson Young,-0.013,-0.856,64
105,4,22056,Cameron Percy,-0.015,-0.522,36
106,4,34409,David Lingmerth,-0.018,-1.042,58
107,4,50493,Justin Suh,-0.027,-2.299,86
108,4,32757,Patton Kizzire,-0.030,-2.078,70
109,4,51491,Brandon Matthews,-0.033,-1.240,38
110,4,57362,Austin Eckroat,-0.036,-2.347,65
111,4,37338,Zecheng Dou,-0.042,-2.797,67
112,-12,55708,Hayden Buckley,-0.049,-2.840,58
112,4,48119,Ben Taylor,-0.049,-3.502,72
114,-15,33653,Thomas Detry,-0.050,-3.191,64
115,2,32640,Troy Merritt,-0.059,-3.386,57
116,2,19803,Ryan Armour,-0.061,-3.650,60
117,2,32448,James Hahn,-0.065,-3.941,61
118,2,24502,Adam Scott,-0.068,-3.543,52
119,2,55454,Carl Yuan,-0.073,-3.919,54
120,-14,55893,Sam Stevens,-0.074,-5.340,72
121,2,25632,Jimmy Walker,-0.081,-5.270,65
122,2,25198,Francesco Molinari,-0.083,-3.084,37
123,2,30163,Henrik Norlander,-0.088,-5.034,57
124,2,40250,Taylor Pendrith,-0.090,-6.568,73
125,3,27095,Nick Watney,-0.100,-4.805,48
126,-4,36699,Patrick Rodgers,-0.102,-8.090,79
127,2,20229,Stewart Cink,-0.118,-6.975,59
127,2,29420,Billy Horschel,-0.118,-6.146,52
129,6,47504,Sam Burns,-0.119,-7.729,65
130,-3,39546,Keith Mitchell,-0.125,-8.894,71
130,1,50095,Austin Smotherman,-0.125,-8.769,70
132,0,27936,Martin Laird,-0.136,-7.738,57
133,0,49298,Kramer Hickok,-0.158,-10.602,67
134,0,32150,Michael Thompson,-0.165,-6.774,41
135,0,48867,Matti Schmid,-0.173,-7.436,43
136,1,45609,Tyler Duncan,-0.176,-11.594,66
137,1,40006,Erik van Rooyen,-0.177,-7.773,44
138,2,32139,Danny Willett,-0.196,-10.399,53
139,2,39067,MJ Daffue,-0.197,-13.191,67
140,3,49766,Hank Lebioda,-0.204,-6.723,33
141,3,29535,Brice Garnett,-0.206,-11.535,56
142,0,28252,Seamus Power,-0.208,-12.666,61
143,2,46435,Austin Cook,-0.215,-9.655,45
144,2,34466,Peter Malnati,-0.218,-14.196,65
145,2,32333,Kevin Tway,-0.230,-16.322,71
146,2,52372,Cameron Champ,-0.231,-10.612,46
147,2,31560,Brian Stuard,-0.232,-9.981,43
148,2,36724,Augusto Núñez,-0.243,-12.373,51
149,2,53165,Doc Redman,-0.245,-13.704,56
150,-11,35506,Mackenzie Hughes,-0.263,-16.299,62
151,1,30692,Scott Stallings,-0.269,-15.074,56
152,1,54421,Garrick Higgo,-0.273,-21.817,80
153,1,49453,Trevor Cone,-0.274,-14.795,54
154,1,46442,Maverick McNealy,-0.282,-12.982,46
155,1,57975,Harry Hall,-0.296,-18.930,64
156,1,58168,Davis Thompson,-0.302,-21.728,72
157,1,47079,Harrison Endycott,-0.313,-17.848,57
158,1,27554,Scott Harrington,-0.315,-14.509,46
159,1,24140,Sean O'Hair,-0.320,-8.319,26
160,1,47983,Chad Ramey,-0.323,-24.895,77
161,1,24024,Zach Johnson,-0.336,-17.806,53
162,1,52411,Kyle Westmoreland,-0.347,-16.994,49
163,1,34431,Robert Streb,-0.349,-17.819,51
164,1,33408,Tyson Alexander,-0.368,-22.434,61
165,1,51349,Nico Echavarria,-0.415,-19.932,48
166,1,35901,Paul Haley II,-0.418,-25.914,62
167,1,29289,S.Y. Noh,-0.420,-17.239,41
168,1,34610,Matthias Schwab,-0.426,-29.850,70
169,1,31557,Jim Herman,-0.444,-24.413,55
170,1,28420,Ryan Brehm,-0.471,-29.177,62
171,1,31577,Tano Goya,-0.472,-25.479,54
172,1,35449,Adam Long,-0.479,-35.938,75
173,1,50188,S.H. Kim,-0.481,-42.768,89
174,4,35461,Beau Hossler,-0.487,-37.005,76
175,0,35617,Martin Trainer,-0.510,-15.807,31
176,0,29970,Dylan Frittelli,-0.519,-25.941,50
177,0,55789,Taylor Montgomery,-0.523,-39.768,76
178,1,39058,Lucas Herbert,-0.552,-20.967,38
179,1,51414,Brent Grant,-0.560,-25.743,46
180,1,24925,Jonathan Byrd,-0.567,-18.152,32
181,1,32662,Michael Gligic,-0.568,-24.412,43
182,1,35879,Kelly Kraft,-0.602,-34.936,58
183,1,58967,Trevor Werbylo,-0.751,-36.775,49
184,1,47128,Richy Werenski,-0.752,-45.884,61
185,1,49964,Aaron Wise,-0.870,-32.206,37
186,1,33597,Harry Higgs,-0.885,-42.492,48
187,1,51950,Max McGreevy,-0.905,-51.598,57
188,1,33410,Andrew Landry,-0.964,-51.098,53
