RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.465,162.710,177.561,-14.849,66
2,1,28237,Rory McIlroy,2.209,110.441,105.492,4.951,50
3,-1,46970,Jon Rahm,2.063,107.262,83.803,23.462,52
4,1,35450,Patrick Cantlay,2.007,108.373,85.589,22.786,54
5,-1,34363,Tyrrell Hatton,1.918,111.266,75.396,35.873,58
6,1,30911,Tommy Fleetwood,1.886,101.819,71.786,30.038,54
7,-1,48081,Xander Schauffele,1.766,95.381,60.249,35.136,54
8,1,39977,Max Homa,1.652,107.390,68.621,38.771,65
9,-1,32102,Rickie Fowler,1.575,115.003,86.966,28.042,73
10,0,50525,Collin Morikawa,1.549,83.662,86.667,-3.001,54
11,2,46717,Viktor Hovland,1.401,86.886,79.925,6.965,62
12,-1,29725,Tony Finau,1.347,87.527,92.486,-4.955,65
13,-1,28089,Jason Day,1.308,73.249,48.255,24.996,56
14,1,22405,Justin Rose,1.259,62.973,43.858,19.118,50
15,-1,51766,Wyndham Clark,1.190,92.789,65.946,26.848,78
16,1,39971,Sungjae Im,1.113,85.675,68.271,17.407,77
17,3,39997,Corey Conners,1.064,68.081,71.213,-3.130,64
18,-2,47993,Denny McCarthy,0.995,80.570,19.723,60.852,81
19,4,34046,Jordan Spieth,0.991,53.517,46.242,7.276,54
20,-2,33141,Keegan Bradley,0.980,57.836,32.297,25.542,59
21,0,37455,Si Woo Kim,0.969,70.748,87.663,-16.912,73
22,3,32839,Hideki Matsuyama,0.933,64.386,73.409,-9.022,69
23,-1,25493,Nick Taylor,0.929,58.506,37.166,21.343,63
24,2,24502,Adam Scott,0.927,48.209,24.198,24.012,52
25,-2,47591,Eric Cole,0.923,83.058,35.241,47.819,90
26,1,55182,Tom Kim,0.881,56.397,60.379,-3.980,64
27,1,30926,Chris Kirk,0.876,60.464,49.722,10.747,69
28,5,34098,Russell Henley,0.860,53.316,58.417,-5.099,62
29,2,36799,Stephan Jaeger,0.833,80.008,85.728,-5.715,96
29,7,49947,Taylor Moore,0.833,60.792,18.076,42.720,73
31,3,33204,Shane Lowry,0.822,46.059,52.460,-6.398,56
32,-2,33948,Byeong Hun An,0.820,69.680,80.007,-10.324,85
33,-14,40098,Matt Fitzpatrick,0.810,44.547,20.036,24.514,55
34,-2,30927,Brendon Todd,0.777,58.257,19.348,38.913,75
35,0,34256,Andrew Putnam,0.776,63.644,10.762,52.886,82
36,3,47347,Adam Schenk,0.769,65.394,30.636,34.762,85
37,-8,47504,Sam Burns,0.763,49.626,11.708,37.923,65
38,0,33399,Adam Hadwin,0.750,54.754,21.412,33.347,73
39,-2,27644,Brian Harman,0.719,48.905,24.557,24.352,68
40,1,33448,Justin Thomas,0.711,44.813,58.810,-13.993,63
41,-1,39546,Keith Mitchell,0.667,47.340,40.105,7.237,71
42,1,40115,Adam Svensson,0.637,56.046,28.892,27.158,88
42,5,54783,Dylan Wu,0.637,44.555,23.075,21.484,70
44,9,45157,Cam Davis,0.620,42.128,57.865,-15.733,68
45,-3,36699,Patrick Rodgers,0.609,48.083,32.165,15.924,79
46,6,51634,Sahith Theegala,0.604,47.120,12.694,34.430,78
47,-1,46414,Aaron Rai,0.594,49.285,69.889,-20.598,83
48,2,51997,Andrew Novak,0.592,34.953,18.217,16.738,59
49,0,54591,Ben Griffin,0.589,47.698,31.061,16.643,81
50,0,54628,Lee Hodges,0.570,46.153,32.782,13.377,81
