RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.690,1.034,1.258,0.412,66
2,0,28237,Rory McIlroy,2.110,1.075,0.854,0.315,50
3,0,46970,Jon Rahm,1.612,0.500,0.901,0.153,52
4,0,50525,Collin Morikawa,1.605,0.459,1.025,0.058,54
5,0,35450,Patrick Cantlay,1.585,0.848,0.488,0.157,54
6,0,29725,Tony Finau,1.423,0.267,0.776,0.241,65
7,1,30911,Tommy Fleetwood,1.329,0.321,0.426,0.349,54
8,-1,34363,Tyrrell Hatton,1.300,0.578,0.608,0.100,58
9,0,46717,Viktor Hovland,1.289,0.655,0.590,0.039,62
10,1,45242,Kevin Yu,1.259,0.909,0.183,0.149,41
11,2,37455,Si Woo Kim,1.201,0.434,0.564,0.131,73
12,-2,32102,Rickie Fowler,1.191,0.191,0.718,0.254,73
13,-1,48081,Xander Schauffele,1.116,0.238,0.842,0.057,54
14,0,39997,Corey Conners,1.113,0.512,0.547,-0.018,64
15,0,32839,Hideki Matsuyama,1.064,0.122,0.625,0.319,69
16,0,39977,Max Homa,1.056,0.219,0.517,0.246,65
17,1,55182,Tom Kim,0.943,0.197,0.683,0.062,64
18,4,34098,Russell Henley,0.942,0.118,0.450,0.205,62
19,0,33948,Byeong Hun An,0.941,0.408,0.119,0.438,85
20,3,33204,Shane Lowry,0.937,0.367,0.436,0.082,56
21,3,33448,Justin Thomas,0.933,0.212,0.327,0.411,63
22,3,31323,Gary Woodland,0.926,0.542,0.712,-0.340,74
23,3,36799,Stephan Jaeger,0.893,0.272,0.203,0.390,96
24,5,39971,Sungjae Im,0.887,0.481,0.158,0.234,77
25,-4,22405,Justin Rose,0.877,-0.078,0.570,0.290,50
26,-6,28089,Jason Day,0.862,0.371,0.209,0.272,56
27,1,34046,Jordan Spieth,0.856,0.276,0.313,0.267,54
28,3,45157,Cam Davis,0.851,0.617,0.154,0.156,68
29,3,25900,Lucas Glover,0.848,0.251,0.579,-0.005,72
30,-13,51766,Wyndham Clark,0.845,0.289,0.419,0.212,78
31,-4,46414,Aaron Rai,0.842,0.236,0.304,0.128,83
32,1,57366,Cameron Young,0.781,0.603,0.261,-0.002,60
33,-3,46340,Alex Smalley,0.754,0.227,0.386,0.059,82
34,0,34255,Joseph Bramlett,0.751,0.204,0.394,0.170,68
35,1,30926,Chris Kirk,0.721,-0.020,0.386,0.314,69
36,-1,56630,Akshay Bhatia,0.717,0.330,0.516,-0.214,45
37,0,39324,J.J. Spaun,0.649,0.260,0.139,0.141,72
38,0,27129,Luke List,0.618,0.558,0.335,-0.255,68
39,2,25493,Nick Taylor,0.590,-0.088,0.521,0.119,63
40,5,51070,Vincent Norrman,0.589,0.373,0.017,0.039,63
41,-2,23320,Ryan Palmer,0.587,0.242,0.275,-0.117,56
42,2,12716,Charley Hoffman,0.565,0.043,0.522,0.028,49
42,-2,39546,Keith Mitchell,0.565,0.842,-0.125,-0.006,71
44,-2,33141,Keegan Bradley,0.547,0.271,0.375,0.010,59
45,5,24502,Adam Scott,0.465,0.532,-0.068,0.191,52
46,2,31646,Emiliano Grillo,0.460,0.202,0.303,-0.138,76
47,6,52375,Doug Ghim,0.450,0.129,0.172,0.070,65
48,-5,36801,Mark Hubbard,0.448,-0.213,0.572,0.174,78
49,2,55893,Sam Stevens,0.430,0.438,-0.074,-0.001,72
50,-1,36699,Patrick Rodgers,0.407,0.229,-0.102,0.182,79
51,1,54628,Lee Hodges,0.405,0.262,0.195,-0.165,81
52,5,27214,Kevin Streelman,0.398,-0.065,0.129,0.198,76
53,-6,23108,Matt Kuchar,0.396,-0.016,0.008,0.381,72
54,5,47591,Eric Cole,0.392,-0.305,0.406,0.211,90
55,-1,49960,Sepp Straka,0.389,0.017,0.567,-0.125,69
56,0,54591,Ben Griffin,0.383,-0.045,0.011,0.349,81
57,-11,40098,Matt Fitzpatrick,0.364,0.203,0.024,0.212,55
58,2,59018,Ryan Gerard,0.361,-0.230,0.226,0.167,44
58,0,27644,Brian Harman,0.361,0.238,0.031,-0.005,68
60,3,47347,Adam Schenk,0.360,0.012,0.237,0.042,85
61,3,54783,Dylan Wu,0.330,-0.025,0.243,0.036,70
62,9,40115,Adam Svensson,0.328,0.057,0.266,0.103,88
63,-8,35532,Tom Hoge,0.319,-0.280,0.765,-0.091,75
64,1,57362,Austin Eckroat,0.314,0.316,-0.036,0.003,65
65,1,51997,Andrew Novak,0.309,-0.031,0.096,0.159,59
66,2,32791,K.H. Lee,0.296,-0.001,-0.013,0.237,69
67,-6,33399,Adam Hadwin,0.293,-0.074,0.305,0.044,73
68,1,51890,Greyson Sigg,0.286,-0.005,0.121,0.069,76
69,-7,48117,Kurt Kitayama,0.283,-0.038,0.212,0.123,51
70,-1,30927,Brendon Todd,0.258,-0.458,0.183,0.441,75
71,3,36326,David Lipsky,0.255,-0.102,0.261,0.057,71
72,6,49947,Taylor Moore,0.248,0.200,0.095,0.016,73
73,-6,47993,Denny McCarthy,0.243,0.002,0.047,0.099,81
74,1,34076,Joel Dahmen,0.240,0.105,0.058,0.030,63
75,1,28775,Nate Lashley,0.239,-0.113,0.221,0.047,73
76,1,39975,Michael Kim,0.237,-0.001,0.184,0.028,65
77,2,52374,Brandon Wu,0.231,0.148,0.067,-0.031,78
78,2,58168,Davis Thompson,0.218,0.447,-0.302,0.082,72
79,-7,49771,J.T. Poston,0.210,-0.100,0.197,0.038,75
80,-8,36871,Matt NeSmith,0.209,-0.064,0.157,-0.011,71
81,0,39335,Kevin Roy,0.208,-0.121,0.566,-0.185,46
82,1,54421,Garrick Higgo,0.204,0.501,-0.273,-0.027,80
83,-1,47504,Sam Burns,0.180,0.264,-0.119,0.042,65
84,5,22056,Cameron Percy,0.164,0.082,-0.015,0.001,36
85,3,51634,Sahith Theegala,0.163,-0.060,0.095,0.209,78
86,5,50188,S.H. Kim,0.142,0.357,-0.481,0.194,89
87,5,56762,Will Gordon,0.141,0.436,0.171,-0.417,80
88,-2,34256,Andrew Putnam,0.131,-0.467,0.420,0.143,82
89,11,35461,Beau Hossler,0.123,0.236,-0.487,0.223,76
89,4,33413,Ben Martin,0.123,-0.007,0.426,-0.331,71
91,3,25686,Jason Dufner,0.112,-0.061,0.186,0.115,58
92,3,32366,Kevin Chappell,0.100,-0.018,0.123,0.078,29
93,3,40250,Taylor Pendrith,0.092,0.294,-0.090,-0.142,73
94,-10,55708,Hayden Buckley,0.091,0.706,-0.049,-0.521,58
95,-8,47988,Nick Hardy,0.089,0.120,0.194,-0.211,76
96,1,39954,Cody Gribble,0.066,0.179,-0.008,-0.155,41
97,1,27349,Alex Noren,0.048,-0.361,0.059,0.368,60
98,1,26596,Ryan Moore,0.035,-0.233,0.453,-0.201,51
99,-9,33653,Thomas Detry,0.029,0.068,-0.050,0.083,64
100,1,46441,Robby Shelton,0.026,-0.278,0.105,0.272,74
101,1,26476,Chez Reavie,0.019,-0.245,0.401,-0.205,77
102,1,34099,Harris English,0.014,-0.364,0.166,0.180,75
103,1,48887,Matt Wallace,0.010,-0.312,0.246,0.293,63
104,2,37338,Zecheng Dou,0.005,0.066,-0.042,0.066,67
105,2,39067,MJ Daffue,-0.004,0.446,-0.197,-0.172,67
106,-1,47995,Davis Riley,-0.013,-0.030,0.380,-0.300,70
107,1,32448,James Hahn,-0.032,0.233,-0.065,-0.262,61
108,1,25818,Scott Piercy,-0.045,-0.175,0.093,-0.002,59
109,1,32640,Troy Merritt,-0.050,-0.205,-0.059,0.134,57
110,1,32150,Michael Thompson,-0.054,0.072,-0.165,-0.026,41
111,1,45522,Christiaan Bezuidenhout,-0.057,-0.339,0.149,0.142,70
112,2,49453,Trevor Cone,-0.074,0.565,-0.274,-0.410,54
113,2,30692,Scott Stallings,-0.077,0.027,-0.269,0.146,56
114,2,48699,Callum Tarren,-0.079,0.201,0.152,-0.303,69
115,2,33122,Russell Knox,-0.083,-0.600,0.494,-0.003,71
116,2,40058,Zac Blair,-0.089,-0.391,0.058,0.192,52
117,2,22371,Aaron Baddeley,-0.105,-0.516,0.042,0.475,54
118,2,49298,Kramer Hickok,-0.109,0.017,-0.158,-0.087,67
119,3,37275,Sam Ryder,-0.118,-0.415,0.439,-0.122,73
120,3,31577,Tano Goya,-0.138,0.071,-0.472,0.234,54
121,3,27963,Chris Stroud,-0.151,-0.317,0.191,-0.071,34
122,3,27554,Scott Harrington,-0.181,0.153,-0.315,-0.167,46
123,3,27936,Martin Laird,-0.190,-0.265,-0.136,0.078,57
124,3,29221,Webb Simpson,-0.191,-0.333,0.150,-0.055,46
125,3,45609,Tyler Duncan,-0.194,0.318,-0.176,-0.445,66
126,-13,28252,Seamus Power,-0.200,0.027,-0.208,0.148,61
127,2,36724,Augusto Núñez,-0.217,-0.033,-0.243,-0.027,51
128,2,29535,Brice Garnett,-0.233,-0.143,-0.206,0.036,56
129,2,46601,Trey Mullinax,-0.240,-0.041,-0.003,-0.084,65
130,2,32139,Danny Willett,-0.244,-0.138,-0.196,0.100,53
131,-10,35506,Mackenzie Hughes,-0.257,-0.395,-0.263,0.376,62
132,1,30163,Henrik Norlander,-0.258,-0.131,-0.088,0.005,57
133,1,20229,Stewart Cink,-0.271,-0.071,-0.118,0.054,59
134,1,34431,Robert Streb,-0.277,-0.086,-0.349,0.081,51
135,1,24925,Jonathan Byrd,-0.294,-0.335,-0.567,0.525,32
136,1,19803,Ryan Armour,-0.296,-0.275,-0.061,-0.150,60
136,1,25632,Jimmy Walker,-0.296,-0.199,-0.081,0.093,65
138,1,29420,Billy Horschel,-0.300,-0.228,-0.118,0.043,52
139,1,32333,Kevin Tway,-0.315,-0.032,-0.230,-0.132,71
139,1,55454,Carl Yuan,-0.315,0.166,-0.073,-0.233,54
141,1,52513,Carson Young,-0.323,-0.068,-0.013,-0.370,64
142,1,34563,Chesson Hadley,-0.344,-0.176,0.218,-0.359,63
143,1,52372,Cameron Champ,-0.347,0.419,-0.231,-0.698,46
144,1,24140,Sean O'Hair,-0.359,-0.127,-0.320,0.071,26
145,1,32757,Patton Kizzire,-0.381,-0.302,-0.030,-0.002,70
146,1,51414,Brent Grant,-0.395,0.779,-0.560,-0.482,46
147,1,47079,Harrison Endycott,-0.397,-0.181,-0.313,0.035,57
148,1,23983,Luke Donald,-0.402,-0.851,0.342,0.161,41
149,1,48867,Matti Schmid,-0.428,0.193,-0.173,-0.428,43
150,2,25198,Francesco Molinari,-0.444,-0.284,-0.083,-0.215,37
151,0,55789,Taylor Montgomery,-0.459,-0.104,-0.523,0.257,76
152,1,40162,Justin Lower,-0.462,-0.192,0.002,-0.229,71
153,1,48119,Ben Taylor,-0.463,-0.293,-0.049,-0.015,72
154,1,50095,Austin Smotherman,-0.469,0.039,-0.125,-0.270,70
155,1,52411,Kyle Westmoreland,-0.478,0.199,-0.347,-0.175,49
156,1,57975,Harry Hall,-0.498,-0.394,-0.296,0.211,64
156,1,47983,Chad Ramey,-0.498,-0.115,-0.323,-0.014,77
156,1,50493,Justin Suh,-0.498,-0.048,-0.027,-0.389,86
159,1,46435,Austin Cook,-0.518,-0.667,-0.215,0.325,45
160,1,53165,Doc Redman,-0.523,-0.075,-0.245,-0.341,56
161,1,35449,Adam Long,-0.532,-0.225,-0.479,0.174,75
162,1,24024,Zach Johnson,-0.581,-0.074,-0.336,-0.020,53
163,1,34409,David Lingmerth,-0.632,-0.534,-0.018,-0.067,58
164,1,35901,Paul Haley II,-0.640,-0.384,-0.418,0.051,62
165,1,40006,Erik van Rooyen,-0.677,0.035,-0.177,-0.401,44
166,1,34466,Peter Malnati,-0.685,-0.553,-0.218,0.277,65
167,1,39058,Lucas Herbert,-0.696,0.303,-0.552,-0.325,38
168,1,34610,Matthias Schwab,-0.704,-0.354,-0.426,0.233,70
169,1,46442,Maverick McNealy,-0.742,-0.488,-0.282,0.154,46
170,1,49964,Aaron Wise,-0.759,-0.171,-0.870,0.227,37
171,1,31557,Jim Herman,-0.772,-0.002,-0.444,-0.318,55
172,1,33408,Tyson Alexander,-0.776,-0.373,-0.368,0.068,61
173,1,51349,Nico Echavarria,-0.832,-0.082,-0.415,-0.295,48
174,1,51491,Brandon Matthews,-0.941,0.178,-0.033,-0.905,38
175,1,58967,Trevor Werbylo,-0.944,-0.185,-0.751,0.085,49
176,1,47128,Richy Werenski,-0.992,-0.114,-0.752,-0.084,61
177,1,31560,Brian Stuard,-1.023,-1.085,-0.232,0.158,43
178,1,29289,S.Y. Noh,-1.095,-0.473,-0.420,-0.103,41
179,1,32662,Michael Gligic,-1.117,0.071,-0.568,-0.436,43
180,1,49766,Hank Lebioda,-1.141,-0.505,-0.204,-0.374,33
181,1,35617,Martin Trainer,-1.173,-0.442,-0.510,-0.136,31
182,1,35879,Kelly Kraft,-1.202,-0.297,-0.602,-0.305,58
183,1,51950,Max McGreevy,-1.207,-0.339,-0.905,0.055,57
184,1,28420,Ryan Brehm,-1.308,-0.340,-0.471,-0.446,62
185,1,29970,Dylan Frittelli,-1.410,-0.583,-0.519,0.006,50
186,1,33597,Harry Higgs,-1.461,-0.436,-0.885,0.001,48
187,1,33410,Andrew Landry,-1.558,-0.231,-0.964,-0.206,53
188,1,27095,Nick Watney,-1.667,-1.370,-0.100,-0.177,48
