RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,46046,Scottie Scheffler,15,2,1,5
2,0,28237,Rory McIlroy,11,2,2,2
3,1,39977,Max Homa,10,2,1,1
3,-1,46970,Jon Rahm,10,4,2,1
5,1,35450,Patrick Cantlay,9,0,2,2
5,-1,48081,Xander Schauffele,9,0,1,1
7,-1,28089,Jason Day,8,1,1,0
7,2,30911,Tommy Fleetwood,8,0,1,2
7,-1,32102,Rickie Fowler,8,1,1,0
7,2,39971,Sungjae Im,8,0,0,0
11,-2,51766,Wyndham Clark,7,2,0,1
11,-2,31646,Emiliano Grillo,7,1,0,0
11,-2,34363,Tyrrell Hatton,7,0,1,2
11,-2,46717,Viktor Hovland,7,1,1,1
11,-2,55182,Tom Kim,7,1,1,0
11,-2,49771,J.T. Poston,7,0,1,0
11,7,34046,Jordan Spieth,7,0,1,1
11,-2,51634,Sahith Theegala,7,0,1,0
19,4,45157,Cam Davis,6,0,0,0
19,-1,27644,Brian Harman,6,1,3,0
19,-1,47993,Denny McCarthy,6,0,1,0
19,4,47347,Adam Schenk,6,0,2,0
19,-1,25493,Nick Taylor,6,1,2,0
19,-1,30927,Brendon Todd,6,0,2,0
25,-2,33141,Keegan Bradley,5,2,1,0
25,-2,47504,Sam Burns,5,1,0,0
25,-2,29725,Tony Finau,5,2,0,0
25,13,25900,Lucas Glover,5,2,0,0
25,-2,33399,Adam Hadwin,5,0,2,0
25,-2,36801,Mark Hubbard,5,0,0,0
25,-2,37455,Si Woo Kim,5,1,1,0
25,-2,34409,David Lingmerth,5,0,0,1
25,-2,39546,Keith Mitchell,5,0,0,0
25,-2,50525,Collin Morikawa,5,0,2,1
25,-2,36699,Patrick Rodgers,5,0,1,1
25,-2,22405,Justin Rose,5,1,0,0
25,-2,49960,Sepp Straka,5,1,2,0
25,-2,57366,Cameron Young,5,0,1,0
39,-1,33948,Byeong Hun An,4,0,1,1
39,-1,56630,Akshay Bhatia,4,1,1,0
39,-1,55708,Hayden Buckley,4,0,1,0
39,18,39997,Corey Conners,4,1,0,0
39,-1,34076,Joel Dahmen,4,0,0,1
39,-1,34099,Harris English,4,0,1,1
39,-1,40098,Matt Fitzpatrick,4,1,0,0
39,18,34098,Russell Henley,4,1,1,0
39,-1,35532,Tom Hoge,4,0,0,2
39,-1,39975,Michael Kim,4,0,0,0
39,-1,30926,Chris Kirk,4,1,0,2
39,-1,48117,Kurt Kitayama,4,1,1,0
39,-1,23108,Matt Kuchar,4,0,0,1
39,-1,55789,Taylor Montgomery,4,0,0,1
39,18,49947,Taylor Moore,4,1,0,0
39,-1,36871,Matt NeSmith,4,0,1,0
39,-1,34256,Andrew Putnam,4,0,1,0
39,-1,37275,Sam Ryder,4,0,0,1
39,-1,24502,Adam Scott,4,0,0,0
39,-1,46340,Alex Smalley,4,0,1,0
39,-1,48119,Ben Taylor,4,0,0,1
60,-3,22371,Aaron Baddeley,3,0,0,0
60,-3,34255,Joseph Bramlett,3,0,0,0
60,-3,47591,Eric Cole,3,0,1,0
60,-3,33653,Thomas Detry,3,0,1,0
60,-3,57362,Austin Eckroat,3,0,1,0
60,-3,57975,Harry Hall,3,0,0,1
60,-3,54628,Lee Hodges,3,1,0,0
60,-3,29420,Billy Horschel,3,0,0,0
60,-3,35461,Beau Hossler,3,0,0,1
60,-3,32791,K.H. Lee,3,0,0,1
60,-3,37378,Min Woo Lee,3,0,0,0
60,-3,40162,Justin Lower,3,0,0,0
60,-3,33413,Ben Martin,3,0,0,0
60,-3,46442,Maverick McNealy,3,0,0,0
60,-3,51070,Vincent Norrman,3,1,0,0
60,-3,28252,Seamus Power,3,1,0,1
60,-3,46414,Aaron Rai,3,0,0,1
60,-3,39324,J.J. Spaun,3,0,0,0
60,-3,55893,Sam Stevens,3,0,1,1
60,-3,40115,Adam Svensson,3,1,0,0
60,-3,33448,Justin Thomas,3,0,0,0
60,-3,40006,Erik van Rooyen,3,0,0,0
60,-3,52374,Brandon Wu,3,0,1,1
60,-3,45242,Kevin Yu,3,0,0,1
84,0,40058,Zac Blair,2,0,1,0
84,0,52372,Cameron Champ,2,0,0,0
84,0,45609,Tyler Duncan,2,0,0,2
84,0,59018,Ryan Gerard,2,0,0,0
84,0,39954,Cody Gribble,2,0,0,0
84,0,47988,Nick Hardy,2,1,0,0
84,0,52453,Nicolai Hojgaard,2,0,1,0
84,0,35506,Mackenzie Hughes,2,1,0,0
84,0,36799,Stephan Jaeger,2,0,0,0
84,0,32757,Patton Kizzire,2,0,0,0
84,0,36689,Brooks Koepka,2,1,1,0
84,0,28775,Nate Lashley,2,0,0,1
84,0,36326,David Lipsky,2,0,0,0
84,0,34466,Peter Malnati,2,0,0,0
84,0,32839,Hideki Matsuyama,2,0,0,0
84,0,46601,Trey Mullinax,2,0,0,0
84,0,34213,Grayson Murray,2,0,0,0
84,0,27349,Alex Noren,2,0,0,0
84,0,51997,Andrew Novak,2,0,0,0
84,0,29908,C.T. Pan,2,0,0,1
84,0,40250,Taylor Pendrith,2,0,0,0
84,0,26476,Chez Reavie,2,0,0,0
84,0,47995,Davis Riley,2,1,0,0
84,0,34610,Matthias Schwab,2,0,0,0
84,0,46441,Robby Shelton,2,0,0,0
84,0,29221,Webb Simpson,2,0,0,0
84,0,35891,Cameron Smith,2,0,0,0
84,0,27214,Kevin Streelman,2,0,1,0
84,0,50493,Justin Suh,2,0,0,0
84,0,58168,Davis Thompson,2,0,1,0
84,0,48887,Matt Wallace,2,1,0,0
84,0,31323,Gary Woodland,2,0,0,0
84,0,54783,Dylan Wu,2,0,0,0
117,0,52955,Ludvig Aberg,1,0,0,0
117,0,33408,Tyson Alexander,1,0,1,0
117,0,34374,Erik Barnes,1,0,0,0
117,0,24846,Ricky Barnes,1,0,0,0
117,0,57259,Daniel Brown,1,0,0,0
117,0,48084,Wesley Bryan,1,0,0,0
117,0,33974,Dean Burmester,1,0,0,0
117,0,49453,Trevor Cone,1,0,0,1
117,0,39524,Sean Crocker,1,0,0,0
117,0,33459,Jens Dantorp,1,0,0,1
117,0,47959,Bryson DeChambeau,1,0,0,0
117,0,37338,Zecheng Dou,1,0,0,0
117,0,51349,Nico Echavarria,1,1,0,0
117,0,47079,Harrison Endycott,1,0,0,0
117,0,29535,Brice Garnett,1,0,0,0
117,0,56762,Will Gordon,1,0,0,1
117,0,51414,Brent Grant,1,0,0,0
117,0,54591,Ben Griffin,1,0,0,1
117,0,28340,Julien Guerrier,1,0,0,1
117,0,34563,Chesson Hadley,1,0,0,0
117,0,32448,James Hahn,1,0,0,0
117,0,35901,Paul Haley II,1,0,0,0
117,0,47987,Cole Hammer,1,0,0,0
117,0,20766,Padraig Harrington,1,0,0,0
117,0,39058,Lucas Herbert,1,0,0,0
117,0,54421,Garrick Higgo,1,0,0,1
117,0,33597,Harry Higgs,1,0,0,0
117,0,51287,Ryo Hisatsune,1,0,0,0
117,0,30925,Dustin Johnson,1,0,0,0
117,0,55955,Matthew Jordan,1,0,0,0
117,0,32815,Masahiro Kawamura,1,0,0,0
117,0,50188,S.H. Kim,1,0,0,0
117,0,45426,Nathan Kimsey,1,0,1,0
117,0,58696,Peter Kuest,1,0,0,0
117,0,27936,Martin Laird,1,0,1,0
117,0,34579,Alexander Levy,1,0,0,0
117,0,33204,Shane Lowry,1,0,0,0
117,0,52215,Robert MacIntyre,1,0,1,0
117,0,51491,Brandon Matthews,1,0,0,0
117,0,51950,Max McGreevy,1,0,0,0
117,0,32640,Troy Merritt,1,0,0,1
117,0,01810,Phil Mickelson,1,0,1,0
